,identificados,screen,incluidos
Scopus,23,,
IEEE Xplore,2,,
ACM,127,,
SOL SBC,2,,
Wiley,9,,
Duplicatas,3,,
Triagem titulo-resumo,,143,
- Não ensino programação,,80,
- LMS geral,,35,
- Game-based learning,,20,
- Outros motivos,,8,
Texto completo avaliado,,17,
Incluidos,,,17
